objectid,title,creator,date,language,identifier,description,rights,filename,filetype,filesize
fl13001,Childhood Door,"Rodriguez, Victoria",3/15/2022,English,0000-0001,Childhood bedroom and door,"Rodriguez, Victoria",FloridaHome1,Still Image,"1,598 KB"
fl13002,Blue House,"Rodriguez, Victoria",3/18/2022,English,0000-0002,Childhood house with blue car and open garage,"Rodriguez, Victoria",FloridaHome2,Still Image,"2,893 KB"
fl13003,Snack Cabinets,"Rodriguez, Victoria",3/18/2022,English,0000-0003,Snack cabinet filled with food and utensils,"Rodriguez, Victoria",FloridaHome3,Still Image,"1,220 KB"
fl13004,Childhood Kitchen,"Rodriguez, Victoria",3/19/2022,English,0000-0004,"Microwave, stove and oven","Rodriguez, Victoria",FloridaHome4,Still Image,"1,131 KB"
fl13005,Kitchen/Dining Room,"Rodriguez, Victoria",3/19/2022,English,0000-0005,Kitchen overlooking dining room and living room. Mom and dad packing boxes.,"Rodriguez, Victoria",FloridaHome5,Still Image,"3,747 KB"
fl13006,Global Plates,"Rodriguez, Victoria",3/19/2022,English,0000-0006,Collection of plates from around the world above my mom's desk,"Rodriguez, Victoria",FloridaHome6,Still Image,"3,357 KB"
fl13007,Parent's Bedroom,"Rodriguez, Victoria",3/19/2022,English,0000-0007,My parent's bedroom and window,"Rodriguez, Victoria",FloridaHome7,Still Image,"1,359 KB"
fl13008,Parent's Bedroom 2,"Rodriguez, Victoria",3/19/2022,English,0000-0008,My parent's mirror closet and bathroom door,"Rodriguez, Victoria",FloridaHome8,Still Image,"1,251 KB"
fl13009,Bathroom,"Rodriguez, Victoria",3/19/2022,English,0000-0009,My parent's bathroom,"Rodriguez, Victoria",FloridaHome9,Still Image,"1,078 KB"
fl13010,Brother's Posters,"Rodriguez, Victoria",3/19/2022,English,0000-0010,Marvel comics posters on my brother's wall,"Rodriguez, Victoria",FloridaHome10,Still Image,"3,491 KB"
fl13011,Brother's Desk,"Rodriguez, Victoria",3/19/2022,English,0000-0011,My brother's desk and posters,"Rodriguez, Victoria",FloridaHome11,Still Image,"2,604 KB"
fl13012,Bathroom 2,"Rodriguez, Victoria",3/19/2022,English,0000-0012,Green bathroom that I and my brother shared,"Rodriguez, Victoria",FloridaHome12,Still Image,"1,835 KB"
fl13013,Front Yard: Last Photo,"Rodriguez, Victoria",4/10/2022,English,0000-0013,Front yard with blue car and tree my cousin gave us,"Rodriguez, Victoria",FloridaHome13,Still Image,"2,804 KB"